dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1786-01-01,-0.232,3.914,Berlin,Germany,52.24N,13.14E
1849-06-01,24.844,1.402,Abidjan,C�te D'Ivoire,5.63N,3.23W
